fixture_id,match,kickoff_utc,gameweek,home_team,away_team,derby,derby_name,home_position_pre,away_position_pre,home_points_pre,away_points_pre,home_gd_pre,away_gd_pre,home_goals_pre,away_goals_pre,home_goals_final,away_goals_final,row_type,row_type_priority,minute_sort,minute,extra_minute,minute_label,participant_id,participant_name,participant_location,player_id,player_name,related_player_id,related_player_name,event_category,event_type_name,event_type_code,info,addition,period_label,time_added_minutes,first_half_added_minutes,second_half_added_minutes,whistle_type,whistle_utc,pressure_value,row_sequence_in_match,row_sequence_global
11867561,Everton vs Southampton,2020-07-09 17:00:00+00:00,1,Everton,Southampton,0,,,,,,,,,,1,1,event,4,70.0,70.0,,70,65.0,Southampton,away,722.0,Ingo Goetze,3596.0,Ché Adams,substitution,Substitution,substitution,,,,,0.0,,,,,17,55
11867561,Everton vs Southampton,2020-07-09 17:00:00+00:00,1,Everton,Southampton,0,,,,,,,,,,1,1,event,4,74.0,74.0,,74,13.0,Everton,home,205595.0,Bernard,9611543.0,A. Gordon,substitution,Substitution,substitution,,,,,0.0,,,,,18,56
11867561,Everton vs Southampton,2020-07-09 17:00:00+00:00,1,Everton,Southampton,0,,,,,,,,,,1,1,event,4,88.0,88.0,,88,65.0,Southampton,away,581052.0,W. Smallbone,172357.0,Stuart Armstrong,substitution,Substitution,substitution,,,,,0.0,,,,,19,57
11867561,Everton vs Southampton,2020-07-09 17:00:00+00:00,1,Everton,Southampton,0,,,,,,,,,,1,1,whistle,5,90.0,90.0,,,,,,,,,,,,,,,,,0.0,,full_time,2020-07-09 18:45:00+00:00,,20,58
11867561,Everton vs Southampton,2020-07-09 17:00:00+00:00,1,Everton,Southampton,0,,,,,,,,,,1,1,event,4,91.0,90.0,1.0,90+1,13.0,Everton,home,95368.0,L. Digne,,,card,Yellowcard,yellowcard,Argument,,,,0.0,,,,,21,59
11867566,AFC Bournemouth vs Leicester City,2020-07-12 18:00:00+00:00,2,AFC Bournemouth,Leicester City,0,,,,,,,,,,4,1,pre_match,0,-1.0,,,,,,,,,,,,,,,,,,0.0,,,,,1,60
11867566,AFC Bournemouth vs Leicester City,2020-07-12 18:00:00+00:00,2,AFC Bournemouth,Leicester City,0,,,,,,,,,,4,1,period,2,0.0,0.0,,,,,,,,,,period,period,,,,1st_half,0.0,0.0,,,,,2,61
11867566,AFC Bournemouth vs Leicester City,2020-07-12 18:00:00+00:00,2,AFC Bournemouth,Leicester City,0,,,,,,,,,,4,1,event,4,16.0,16.0,,16,42.0,Leicester City,away,898.0,Ryan Bennett,174.0,Marc Albrighton,substitution,Substitution,substitution,,,,,0.0,,,,,3,62
11867566,AFC Bournemouth vs Leicester City,2020-07-12 18:00:00+00:00,2,AFC Bournemouth,Leicester City,0,,,,,,,,,,4,1,event,4,23.0,23.0,,23,42.0,Leicester City,away,1182.0,Jamie Vardy,,,goal,Goal,goal,,1st Goal,,,0.0,,,,,4,63
11867566,AFC Bournemouth vs Leicester City,2020-07-12 18:00:00+00:00,2,AFC Bournemouth,Leicester City,0,,,,,,,,,,4,1,event,4,32.0,32.0,,32,52.0,AFC Bournemouth,home,568.0,Dan Gosling,,,card,Yellowcard,yellowcard,Foul,,,,0.0,,,,,5,64
11867566,AFC Bournemouth vs Leicester City,2020-07-12 18:00:00+00:00,2,AFC Bournemouth,Leicester City,0,,,,,,,,,,4,1,event,4,40.0,40.0,,40,52.0,AFC Bournemouth,home,1028.0,Steve Cook,1869.0,Nathan Aké,substitution,Substitution,substitution,,,,,0.0,,,,,6,65
11867566,AFC Bournemouth vs Leicester City,2020-07-12 18:00:00+00:00,2,AFC Bournemouth,Leicester City,0,,,,,,,,,,4,1,period,2,45.0,45.0,,,,,,,,,,period,period,,,,2nd_half,,0.0,,,,,7,66
11867566,AFC Bournemouth vs Leicester City,2020-07-12 18:00:00+00:00,2,AFC Bournemouth,Leicester City,0,,,,,,,,,,4,1,whistle,5,45.0,45.0,,,,,,,,,,,,,,,,,0.0,,half_time,2020-07-12 18:45:00+00:00,,8,67
11867566,AFC Bournemouth vs Leicester City,2020-07-12 18:00:00+00:00,2,AFC Bournemouth,Leicester City,0,,,,,,,,,,4,1,event,4,46.0,46.0,,46,52.0,AFC Bournemouth,home,513.0,Junior Stanislas,26491.0,Arnaut Danjuma,substitution,Substitution,substitution,,,,,0.0,,,,,9,68
11867566,AFC Bournemouth vs Leicester City,2020-07-12 18:00:00+00:00,2,AFC Bournemouth,Leicester City,0,,,,,,,,,,4,1,event,4,46.0,46.0,,46,52.0,AFC Bournemouth,home,6087.0,Philip Billing,568.0,Dan Gosling,substitution,Substitution,substitution,,,,,0.0,,,,,10,69
11867566,AFC Bournemouth vs Leicester City,2020-07-12 18:00:00+00:00,2,AFC Bournemouth,Leicester City,0,,,,,,,,,,4,1,event,4,46.0,46.0,,46,42.0,Leicester City,away,61654.0,Dennis Praet ,1488.0,Kelechi Iheanacho,substitution,Substitution,substitution,,,,,0.0,,,,,11,70
11867566,AFC Bournemouth vs Leicester City,2020-07-12 18:00:00+00:00,2,AFC Bournemouth,Leicester City,0,,,,,,,,,,4,1,event,4,64.0,64.0,,64,42.0,Leicester City,away,5319.0,Wilfred Ndidi,,,card,Yellowcard,yellowcard,Foul,,,,0.0,,,,,12,71
11867566,AFC Bournemouth vs Leicester City,2020-07-12 18:00:00+00:00,2,AFC Bournemouth,Leicester City,0,,,,,,,,,,4,1,event,4,66.0,66.0,,66,52.0,AFC Bournemouth,home,513.0,Junior Stanislas,,,penalty,Penalty,penalty,,2nd Goal,,,0.0,,,,,13,72
11867566,AFC Bournemouth vs Leicester City,2020-07-12 18:00:00+00:00,2,AFC Bournemouth,Leicester City,0,,,,,,,,,,4,1,event,4,67.0,67.0,,67,52.0,AFC Bournemouth,home,4203.0,Dominic Solanke,186954.0,Diego Rico,goal,Goal,goal,,3rd Goal,,,0.0,,,,,14,73
11867566,AFC Bournemouth vs Leicester City,2020-07-12 18:00:00+00:00,2,AFC Bournemouth,Leicester City,0,,,,,,,,,,4,1,event,4,67.0,67.0,,67,42.0,Leicester City,away,32574.0,Caglar Söyüncü,,,card,Redcard,redcard,Violent conduct,,,,0.0,,,,,15,74
11867566,AFC Bournemouth vs Leicester City,2020-07-12 18:00:00+00:00,2,AFC Bournemouth,Leicester City,0,,,,,,,,,,4,1,event,4,71.0,71.0,,71,42.0,Leicester City,away,10601.0,Harvey Barnes,1396.0,Ayoze Pérez,substitution,Substitution,substitution,,,,,0.0,,,,,16,75
11867566,AFC Bournemouth vs Leicester City,2020-07-12 18:00:00+00:00,2,AFC Bournemouth,Leicester City,0,,,,,,,,,,4,1,event,4,81.0,81.0,,81,52.0,AFC Bournemouth,home,1834.0,Lewis Cook,9808.0,David Brooks ,substitution,Substitution,substitution,,,,,0.0,,,,,17,76
11867566,AFC Bournemouth vs Leicester City,2020-07-12 18:00:00+00:00,2,AFC Bournemouth,Leicester City,0,,,,,,,,,,4,1,event,4,83.0,83.0,,83,52.0,AFC Bournemouth,home,612.0,Jonny Evans ,,,goal,Own Goal,owngoal,,4th Goal,,,0.0,,,,,18,77
